Date,Open,Close,Diff,ShortMA,LongMA,Trend,Unusual
2016-03-22,2048.64,2049.8,0.057,1937.03,1997.98,0,0.0
2016-03-23,2048.55,2036.71,-0.578,1939.29,1997.44,0,0.0
2016-03-24,2032.48,2035.94,0.17,1941.24,1996.9,0,0.0
2016-03-28,2037.89,2037.05,-0.041,1944.17,1996.48,0,0.0
2016-03-29,2035.75,2055.01,0.946,1946.84,1995.99,0,0.0
2016-03-30,2058.27,2063.95,0.276,1950.51,1995.53,0,0.0
2016-03-31,2063.77,2059.74,-0.195,1954.08,1995.11,0,0.0
2016-04-01,2056.62,2072.78,0.786,1958.35,1994.84,0,0.0
2016-04-04,2073.19,2066.13,-0.341,1962.29,1994.5,0,0.0
2016-04-05,2062.5,2045.17,-0.84,1965.05,1994.17,0,0.0
2016-04-06,2045.56,2066.66,1.032,1968.85,1994.02,0,0.0
2016-04-07,2063.01,2041.91,-1.023,1971.61,1993.69,0,0.0
2016-04-08,2045.54,2047.6,0.101,1974.9,1993.71,0,0.0
2016-04-11,2050.23,2041.99,-0.402,1977.88,1993.89,0,0.0
2016-04-12,2043.72,2061.72,0.881,1980.31,1993.98,0,0.0
2016-04-13,2065.92,2082.42,0.799,1983.17,1994.3,0,0.0
2016-04-14,2082.89,2082.78,-0.005,1986.76,1994.29,0,0.0
2016-04-15,2083.1,2080.73,-0.114,1990.13,1994.29,0,0.0
2016-04-18,2078.83,2094.34,0.746,1993.7,1994.34,0,0.0
2016-04-19,2096.05,2100.8,0.227,1998.12,1994.48,1,0.0
2016-04-20,2101.52,2102.4,0.042,2003.1,1994.61,1,0.0
2016-04-21,2102.09,2091.48,-0.505,2007.88,1994.64,1,0.0
2016-04-22,2091.49,2091.58,0.004,2012.68,1994.65,1,0.0
2016-04-25,2089.37,2087.79,-0.076,2017.85,1994.73,1,0.0
2016-04-26,2089.84,2091.7,0.089,2022.39,1994.62,1,0.0
2016-04-27,2092.33,2095.15,0.135,2026.38,1994.77,1,0.0
2016-04-28,2090.93,2075.81,-0.723,2029.36,1995.04,1,0.0
2016-04-29,2071.82,2065.3,-0.315,2032.31,1994.77,1,0.0
2016-05-02,2067.17,2081.43,0.69,2035.58,1994.82,1,0.0
2016-05-03,2077.18,2063.37,-0.665,2037.94,1994.81,1,0.0
2016-05-04,2060.3,2051.12,-0.446,2040.54,1994.85,1,0.0
2016-05-05,2052.95,2050.63,-0.113,2042.96,1994.83,1,0.0
2016-05-06,2047.77,2057.14,0.458,2045.06,1995.28,1,0.0
2016-05-09,2057.55,2058.69,0.055,2047.28,1995.65,1,0.0
2016-05-10,2062.63,2084.39,1.055,2050.32,1996.06,1,0.0
2016-05-11,2083.29,2064.46,-0.904,2052.04,1995.97,1,0.0
